NILU_ID,NIVA_ID,Prøvetype,Kommentar,Vekt
,NR-2020-08432,Ærfugl Egg,,
,NR-2020-08433,Ærfugl Egg,,
,NR-2020-08434,Ærfugl Egg,,
,NR-2020-08435,Ærfugl Egg,,
,NR-2020-08436,Ærfugl Egg,,
,NR-2020-08437,Ærfugl Egg,,
,NR-2020-08438,Ærfugl Egg,,
,NR-2020-08439,Ærfugl Egg,,
,NR-2020-08440,Ærfugl Egg,,
,NR-2020-08441,Ærfugl Egg,,
,NR-2020-08442,Ærfugl Egg,,
,NR-2020-08443,Ærfugl Egg,,
,NR-2020-08444,Ærfugl Egg,,
,NR-2020-08445,Ærfugl Egg,,
,NR-2020-08446,Ærfugl Egg,,
,NR-2020-08447,Ærfugl Blod,,
,NR-2020-08448,Ærfugl Blod,,
,NR-2020-08449,Ærfugl Blod,,
,NR-2020-08450,Ærfugl Blod,,
,NR-2020-08451,Ærfugl Blod,,
,NR-2020-08452,Ærfugl Blod,,
,NR-2020-08453,Ærfugl Blod,,
,NR-2020-08454,Ærfugl Blod,,
,NR-2020-08455,Ærfugl Blod,,
,NR-2020-08456,Ærfugl Blod,,
,NR-2020-08457,Ærfugl Blod,,
,NR-2020-08458,Ærfugl Blod,,
,NR-2020-08459,Ærfugl Blod,,
,NR-2020-08460,Ærfugl Blod,,
,NR-2020-08461,Ærfugl Blod,,
